"id","sbid","o_year","o_area","o_oil_price","o_unit","o_oil_including_gas_condensate","o_unit_a","o_atyrau","o_zhylyoy","o_inder","o_isatai","o_kurmangazy","o_kyzylkoga","o_makat","o_mahambet","o_number_population","o_unit_b","o_atyrau_a","o_zhylyoy_a","o_inder_a","o_isatai_a","o_kurmangazy_a","o_kyzylkoga_a","o_makat_a","o_mahambet_a","o_inflation_a","o_unit_c","o_atyrau_b","o_zhylyoy_b","o_inder_b","o_isatai_b","o_kurmangazy_b","o_kyzylkoga_b","o_makat_b","o_mahambet_b","o_exchange_rate","o_grain","o_unit_d","o_atyrau_c","o_zhylyoy_c","o_inder_c","o_isatai_c","o_kurmangazy_c","o_kyzylkoga_c","o_makat_c","o_mahambet_c","o_potato","o_unit_e","o_atyrau_d","o_zhylyoy_d","o_inder_d","o_isatai_d","o_kurmangazy_d","o_kyzylkoga_d","o_makat_d","o_mahambet_d","o_produce","o_unit_f","o_atyrau_e","o_zhylyoy_e","o_inder_e","o_isatai_e","o_kurmangazy_e","o_kyzylkoga_e","o_makat_e","o_mahambet_e","o_cattle","o_unit_g","o_atyrau_f","o_zhylyoy_f","o_inder_f","o_isatai_f","o_kurmangazy_f","o_kyzylkoga_f","o_makat_f","o_mahambet_f","o_sheep_goats","o_unit_h","o_atyrau_g","o_zhylyoy_g","o_inder_g","o_isatai_g","o_kurmangazy_g","o_kyzylkoga_g","o_makat_g","o_mahambet_g","o_pigs","o_unit_i","o_atyrau_h","o_zhylyoy_h","o_inder_h","o_isatai_h","o_kurmangazy_h","o_kyzylkoga_h","o_makat_h","o_mahambet_h","o_horses","o_unit_k","o_atyrau_i","o_zhylyoy_i","o_inder_i","o_isatai_i","o_kurmangazy_i","o_kyzylkoga_i","o_makat_i","o_mahambet_i","o_poultry","o_unit_l","o_atyrau_j","o_zhylyoy_j","o_inder_j","o_isatai_j","o_kurmangazy_j","o_kyzylkoga_j","o_makat_j","o_mahambet_j","o_entering_buildings","o_unit_m","o_atyrau_k","o_zhylyoy_k","o_inder_k","o_isatai_k","o_kurmangazy_k","o_kyzylkoga_k","o_makat_k","o_mahambet_k"
1,NULL,"2020","",63.5,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,383.5,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
2,NULL,"2020","",75,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,383.5,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
3,NULL,"2010","",1,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,1,80,"",0,0,0,0,0,0,0,0,80,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,82,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,80,"",0,0,0,0,0,0,0,0,80,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
4,NULL,"2019","",63.5,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,383.5,0,"",0,0,0,0,0,0,0,0,27.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,173.8,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,83.5,"",0,0,0,0,0,0,0,0,503,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
5,NULL,"2020","",65,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,390,0,"",0,0,0,0,0,0,0,0,29,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,179.7,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,88.3,"",0,0,0,0,0,0,0,0,571,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
6,NULL,"2021","",65,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,390,0,"",0,0,0,0,0,0,0,0,30.7,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,186,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,93.3,"",0,0,0,0,0,0,0,0,653,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
7,NULL,"2022","",65,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,390,0,"",0,0,0,0,0,0,0,0,32.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,192.5,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,98.6,"",0,0,0,0,0,0,0,0,753.1,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
8,NULL,"2023","",65,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,390,0,"",0,0,0,0,0,0,0,0,34.3,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,199.1,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,104.2,"",0,0,0,0,0,0,0,0,875.9,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
9,NULL,"2024","",65,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,390,0,"",0,0,0,0,0,0,0,0,36.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,206.3,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,109.8,"",0,0,0,0,0,0,0,0,1027.9,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
10,NULL,"2025","",65,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,390,0,"",0,0,0,0,0,0,0,0,38.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,213.8,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,116.2,"",0,0,0,0,0,0,0,0,1217.4,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
11,NULL,"2019","",63.5,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,383.5,0,"",0,0,0,0,0,0,0,0,27.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,173.8,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,83.5,"",0,0,0,0,0,0,0,0,503,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
12,NULL,"2020","",78.1,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,385,0,"",0,0,0,0,0,0,0,0,29,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,179.7,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,88.3,"",0,0,0,0,0,0,0,0,571,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
13,NULL,"2021","",78.1,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,385,0,"",0,0,0,0,0,0,0,0,30.7,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,186,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,93.3,"",0,0,0,0,0,0,0,0,653,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
14,NULL,"2022","",78.1,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,385,0,"",0,0,0,0,0,0,0,0,32.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,192.5,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,98.6,"",0,0,0,0,0,0,0,0,753.1,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
15,NULL,"2023","",78.1,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,385,0,"",0,0,0,0,0,0,0,0,34.3,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,199.1,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,104.2,"",0,0,0,0,0,0,0,0,875.9,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
16,NULL,"2024","",78.1,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,385,0,"",0,0,0,0,0,0,0,0,36.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,206.3,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,109.8,"",0,0,0,0,0,0,0,0,1027.9,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
17,NULL,"2025","",78.1,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,385,0,"",0,0,0,0,0,0,0,0,38.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,213.8,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,116.2,"",0,0,0,0,0,0,0,0,1217.4,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
18,NULL,"2019","",63.5,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,383.5,0,"",0,0,0,0,0,0,0,0,27.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,173.8,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,83.5,"",0,0,0,0,0,0,0,0,503,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
19,NULL,"2020","",51.9,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,410,0,"",0,0,0,0,0,0,0,0,29,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,179.7,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,88.3,"",0,0,0,0,0,0,0,0,571,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
20,NULL,"2021","",51.9,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,410,0,"",0,0,0,0,0,0,0,0,30.7,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,186,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,93.3,"",0,0,0,0,0,0,0,0,653,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
21,NULL,"2022","",51.9,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,410,0,"",0,0,0,0,0,0,0,0,32.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,192.5,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,98.6,"",0,0,0,0,0,0,0,0,753.1,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
22,NULL,"2023","",51.9,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,410,0,"",0,0,0,0,0,0,0,0,34.3,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,199.1,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,104.2,"",0,0,0,0,0,0,0,0,875.9,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
23,NULL,"2024","",51.9,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,410,0,"",0,0,0,0,0,0,0,0,36.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,206.3,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,109.8,"",0,0,0,0,0,0,0,0,1027.9,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
24,NULL,"2025","",51.9,"",0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,NULL,"",0,0,0,0,0,0,0,0,410,0,"",0,0,0,0,0,0,0,0,38.4,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,213.8,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,116.2,"",0,0,0,0,0,0,0,0,1217.4,"",0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
